title,text,summary,url,published_at,category,source
"Активисты ""Молодой Гвардии"" встретили сборную России с Паралимпиады12:35","Активисты ""Молодой Гвардии"" встретили сборную России с Паралимпиады12:35","Активисты ""Молодой Гвардии"" встретили сборную России с Паралимпиады12:35",https://ria.ru/20260317/paralimpizm-2081198650.html,,,parsed_html:ria
"Война Израиля и Ирана в 2026 году: причины, хронология и последствия","Война Израиля и Ирана в 2026 году: причины, хронология и последствия","Война Израиля и Ирана в 2026 году: причины, хронология и последствия",https://ria.ru/20260228/izrail-iran-prichiny-vojny-2023542052.html,,,parsed_html:ria
"Как вызвать врача на дом: куда обращаться, сколько ждать, инструкция","Как вызвать врача на дом: куда обращаться, сколько ждать, инструкция","Как вызвать врача на дом: куда обращаться, сколько ждать, инструкция",https://ria.ru/20250704/kak-vyzvat-vracha-na-dom-2027170921.html,,,parsed_html:ria
"Православные праздники в 2026 году: церковный календарь, посты, традиции","Православные праздники в 2026 году: церковный календарь, посты, традиции","Православные праздники в 2026 году: церковный календарь, посты, традиции",https://ria.ru/20251230/pravoslavnyj-kalendar-daty-prazdnikov-2065611676.html,,,parsed_html:ria
"Ракетный комплекс ""Орешник""","Ракетный комплекс ""Орешник""","Ракетный комплекс ""Орешник""",https://ria.ru/20260109/raketnyy-kompleks-oreshnik-1988644513.html,,,parsed_html:ria
"Задолженность по ЖКХ: как узнать долг, оплатить и избежать последствий","Задолженность по ЖКХ: как узнать долг, оплатить и избежать последствий","Задолженность по ЖКХ: как узнать долг, оплатить и избежать последствий",https://ria.ru/20251226/dolgi-za-zhkkh-2064911751.html,,,parsed_html:ria
"Великий пост 2026: даты, календарь питания и правила","Великий пост 2026: даты, календарь питания и правила","Великий пост 2026: даты, календарь питания и правила",https://ria.ru/20260219/velikij-post-2026-2075607793.html,,,parsed_html:ria
"Ключевая ставка ЦБ России: что это, зачем нужна и на что влияет","Ключевая ставка ЦБ России: что это, зачем нужна и на что влияет","Ключевая ставка ЦБ России: что это, зачем нужна и на что влияет",https://ria.ru/20250824/klyuchevaya_stavka-1962773695.html,,,parsed_html:ria
Материнский капитал: последние изменения,Материнский капитал: последние изменения,Материнский капитал: последние изменения,https://ria.ru/20250620/matkapital-1733022511.html,,,parsed_html:ria
Бесплатные лекарства и льготные препараты: как получить в 2026 году,Бесплатные лекарства и льготные препараты: как получить в 2026 году,Бесплатные лекарства и льготные препараты: как получить в 2026 году,https://ria.ru/20250902/kak-poluchit-besplatnye-lekarstva-1863850209.html,,,parsed_html:ria
Самозапрет на кредиты,Самозапрет на кредиты,Самозапрет на кредиты,https://ria.ru/20250430/kredity-2003042476.html,,,parsed_html:ria
