title,text,summary,url,published_at,category,source
Рютте опоздал на встречу со Стармером и Зеленским,Рютте опоздал на встречу со Стармером и Зеленским,Рютте опоздал на встречу со Стармером и Зеленским,https://ria.ru/20260317/ryutte-2081291781.html,2026-03-17 16:50:00,Лента новостей,parsed_rss:ria
В Сочи отменили угрозу атаки БПЛА,В Сочи отменили угрозу атаки БПЛА,В Сочи отменили угрозу атаки БПЛА,https://ria.ru/20260317/bpla-2081291650.html,2026-03-17 16:48:30,Лента новостей,parsed_rss:ria
На юге Украины мужчина напал с ножом на сотрудника военкомата,На юге Украины мужчина напал с ножом на сотрудника военкомата,На юге Украины мужчина напал с ножом на сотрудника военкомата,https://ria.ru/20260317/nikolaev-2081291385.html,2026-03-17 16:46:10,Лента новостей,parsed_rss:ria
Трамп поблагодарил арабские страны за поддержку в конфликте с Ираном,Трамп поблагодарил арабские страны за поддержку в конфликте с Ираном,Трамп поблагодарил арабские страны за поддержку в конфликте с Ираном,https://ria.ru/20260317/tramp-2081291110.html,2026-03-17 16:42:23,Лента новостей,parsed_rss:ria
"""За один день"". Трамп сделал тревожное заявление об Украине","""За один день"". Трамп сделал тревожное заявление об Украине","""За один день"". Трамп сделал тревожное заявление об Украине",https://ria.ru/20260317/tramp-2081290960.html,2026-03-17 16:42:19,Лента новостей,parsed_rss:ria
Как встать на биржу труда в 2025 году: пошаговая инструкция,Как встать на биржу труда в 2025 году: пошаговая инструкция,Как встать на биржу труда в 2025 году: пошаговая инструкция,https://ria.ru/20260317/bezrabotnye-1599982658.html,2026-03-17 16:41:00,Лента новостей,parsed_rss:ria
Трамп назвал сумму американских затрат на конфликт на Украине,Трамп назвал сумму американских затрат на конфликт на Украине,Трамп назвал сумму американских затрат на конфликт на Украине,https://ria.ru/20260317/tramp-2081290659.html,2026-03-17 16:40:15,Лента новостей,parsed_rss:ria
"Банды дезертиров уничтожают спецназ ВСУ, сообщил источник","Банды дезертиров уничтожают спецназ ВСУ, сообщил источник","Банды дезертиров уничтожают спецназ ВСУ, сообщил источник",https://ria.ru/20260317/spetsnaz-2081290505.html,2026-03-17 16:38:05,Лента новостей,parsed_rss:ria
В Сочи объявили угрозу атаки БПЛА,В Сочи объявили угрозу атаки БПЛА,В Сочи объявили угрозу атаки БПЛА,https://ria.ru/20260317/bpla-2081290338.html,2026-03-17 16:32:02,Лента новостей,parsed_rss:ria
"Юрист рассказала, можно ли взыскать деньги с коллеги за заражение ОРВИ","Юрист рассказала, можно ли взыскать деньги с коллеги за заражение ОРВИ","Юрист рассказала, можно ли взыскать деньги с коллеги за заражение ОРВИ",https://ria.ru/20260317/orvi-2081290152.html,2026-03-17 16:30:24,Лента новостей,parsed_rss:ria
Трамп прокомментировал отставку главы контртеррористического центра,Трамп прокомментировал отставку главы контртеррористического центра,Трамп прокомментировал отставку главы контртеррористического центра,https://ria.ru/20260317/tramp-2081289955.html,2026-03-17 16:30:00,Лента новостей,parsed_rss:ria
"""Росатом"": создание первого нацстандарта в сфере КИИ – важный шаг","""Росатом"": создание первого нацстандарта в сфере КИИ – важный шаг","""Росатом"": создание первого нацстандарта в сфере КИИ – важный шаг",https://ria.ru/20260317/rosatom-2081074510.html,2026-03-17 16:27:28,Лента новостей,parsed_rss:ria
"Волейболисты ""Белогорья"" обыграли ""Динамо-Урал"" в матче плей-офф ЧР","Волейболисты ""Белогорья"" обыграли ""Динамо-Урал"" в матче плей-офф ЧР","Волейболисты ""Белогорья"" обыграли ""Динамо-Урал"" в матче плей-офф ЧР",https://ria.ru/20260317/belogore-2081289737.html,2026-03-17 16:26:22,Лента новостей,parsed_rss:ria
