title,text,summary,url,published_at,category,source
Еще в одном населенном пункте Новосибирской области ввели карантин по опасному заболеванию,Еще в одном населенном пункте Новосибирской области ввели карантин по опасному заболеванию,Еще в одном населенном пункте Новосибирской области ввели карантин по опасному заболеванию,https://lenta.ru/news/2026/03/17/esche-v-odnom-naselennom-punkte-novosibirskoy-oblasti-vveli-karantin-po-opasnomu-zabolevaniyu/,,,parsed_html:lenta
Сергей Зверев с голым торсом и связанными руками анонсировал съемки в клипе,Сергей Зверев с голым торсом и связанными руками анонсировал съемки в клипе,Сергей Зверев с голым торсом и связанными руками анонсировал съемки в клипе,https://lenta.ru/news/2026/03/17/sergey-zverev-s-golym-torsom-i-svyazannymi-rukami-anonsiroval-s-emki-v-klipe/,,,parsed_html:lenta
Опасность БПЛА объявили на первой в России федеральной территории,Опасность БПЛА объявили на первой в России федеральной территории,Опасность БПЛА объявили на первой в России федеральной территории,https://lenta.ru/news/2026/03/17/opasnost-bpla-ob-yavili-na-pervoy-v-rossii-federalnoy-territorii/,,,parsed_html:lenta
Появилось видео с места происшествия с изрезанным матерью 12-летним школьником,Появилось видео с места происшествия с изрезанным матерью 12-летним школьником,Появилось видео с места происшествия с изрезанным матерью 12-летним школьником,https://lenta.ru/news/2026/03/17/poyavilos-video-s-mesta-proisshestviya-s-izrezannym-materyu-12-letnim-shkolnikom/,,,parsed_html:lenta
"Мир с Россией, запрет проституции и создание армии.Что ждет Японию после победы на выборах первой женщины-премьера Санаэ Такаити?","Мир с Россией, запрет проституции и создание армии.Что ждет Японию после победы на выборах первой женщины-премьера Санаэ Такаити?","Мир с Россией, запрет проституции и создание армии.Что ждет Японию после победы на выборах первой женщины-премьера Санаэ Такаити?",https://lenta.ru/articles/2026/03/17/takaiti/,,,parsed_html:lenta
В Сибири объяснили изъятие животных у местных жителей. Тема убоя скота дошла до Кремля,В Сибири объяснили изъятие животных у местных жителей. Тема убоя скота дошла до Кремля,В Сибири объяснили изъятие животных у местных жителей. Тема убоя скота дошла до Кремля,https://lenta.ru/news/2026/03/17/v-kremle-vpervye-prokommentirovali-situatsiyu-s-uboem-skota-v-novosibirskoy-oblasti-1/,,,parsed_html:lenta
Зеленский пообещал отремонтировать «Дружбу» за полтора месяца,Зеленский пообещал отремонтировать «Дружбу» за полтора месяца,Зеленский пообещал отремонтировать «Дружбу» за полтора месяца,https://lenta.ru/news/2026/03/17/zelenskiy-poobeschal-otremontirovat-druzhbu-za-poltora-mesyatsa/,,,parsed_html:lenta
«Ни один регион не может чувствовать себя в безопасности». Шойгу признал масштабную угрозу от ВСУ,«Ни один регион не может чувствовать себя в безопасности». Шойгу признал масштабную угрозу от ВСУ,«Ни один регион не может чувствовать себя в безопасности». Шойгу признал масштабную угрозу от ВСУ,https://lenta.ru/news/2026/03/17/ni-odin-region-ne-mozhet-chuvstvovat-sebya-v-bezopasnosti-shoygu-priznal-masshtabnuyu-ugrozu-ot-vsu/,,,parsed_html:lenta
Появились новые детали дела о расправе футболиста над москвичкой. Над дочерью убитой изощренно издевались целые сутки,Появились новые детали дела о расправе футболиста над москвичкой. Над дочерью убитой изощренно издевались целые сутки,Появились новые детали дела о расправе футболиста над москвичкой. Над дочерью убитой изощренно издевались целые сутки,https://lenta.ru/news/2026/03/17/stalo-izvestno-ob-izdevatelstvah-nad-17-letney-docheryu-ubitoy-futbolistom-moskvichki-on-esche-sutki-uderzhival-ee-v-kvartire/,,,parsed_html:lenta
В Израиле заявили об уничтожении серого кардинала Ирана. В это же время в его соцсетях появилась новая публикация,В Израиле заявили об уничтожении серого кардинала Ирана. В это же время в его соцсетях появилась новая публикация,В Израиле заявили об уничтожении серого кардинала Ирана. В это же время в его соцсетях появилась новая публикация,https://lenta.ru/news/2026/03/17/laridzhani/,,,parsed_html:lenta
